,Close Price,Date,High Price,Low Price,Open Price,Stock,Volume
0,190.15,6/7/2019,191.92,185.77,186.51,AAPL,30648373
1,185.22,6/6/2019,185.47,182.1489,183.08,AAPL,22526311
2,182.54,6/5/2019,184.99,181.14,184.28,AAPL,29773427
3,179.64,6/4/2019,179.83,174.52,175.44,AAPL,30967961
4,173.3,6/3/2019,177.92,170.27,175.6,AAPL,40396069
5,175.07,5/31/2019,177.99,174.99,176.23,AAPL,27043584
6,178.3,5/30/2019,179.23,176.67,177.95,AAPL,21218412
7,177.38,5/29/2019,179.35,176,176.42,AAPL,28481165
8,178.23,5/28/2019,180.59,177.91,178.92,AAPL,27948160
0,121.11,6/7/2019,121.36,119.56,119.87,AXP,2481787
1,119.43,6/6/2019,119.64,118.15,118.42,AXP,2209284
2,118.12,6/5/2019,118.24,117.01,117.18,AXP,2568240
3,116.85,6/4/2019,117,115.23,115.71,AXP,3043212
4,114.62,6/3/2019,115.93,113.8944,114.56,AXP,2968541
5,114.71,5/31/2019,115.98,114.56,115.77,AXP,2969059
6,116.74,5/30/2019,117.31,116.105,117.21,AXP,1882652
7,117.01,5/29/2019,117.81,116.04,117.71,AXP,2554183
8,118.17,5/28/2019,120.12,118.17,119.36,AXP,2550345
0,353.7,6/7/2019,355.28,352.3,352.3,BA,2470084
1,350.64,6/6/2019,351.64,345.58,348.18,BA,2582259
2,348.75,6/5/2019,353.25,332.49,346.22,BA,3188375
3,344.62,6/4/2019,346.41,340.12,342.57,BA,3592323
4,338.89,6/3/2019,339.11,330.67,338.2,BA,5148019
5,341.61,5/31/2019,345.85,341.36,345.85,BA,3217646
6,349.87,5/30/2019,351.92,347.9366,350,BA,2183884
7,348.8,5/29/2019,352.79,346.05,352.59,BA,4160546
8,354.88,5/28/2019,359.31,354.88,355.29,BA,3504281
0,124.46,6/7/2019,125.63,124.08,124.38,CAT,2547516
1,123.39,6/6/2019,123.95,122.2342,123.1,CAT,3295687
2,123.12,6/5/2019,123.64,121.96,123.4,CAT,3598662
3,122.08,6/4/2019,122.77,120.75,121.81,CAT,4060408
4,120.65,6/3/2019,121.69,119.76,119.91,CAT,4161778
5,119.81,5/31/2019,120.7491,118.74,119.79,CAT,4711664
6,121.84,5/30/2019,122.6778,121.2775,121.61,CAT,2878304
7,121.48,5/29/2019,122.825,120.26,120.5,CAT,5330040
8,121.59,5/28/2019,123.46,121.51,122.9,CAT,4889389
0,55.93,6/7/2019,56.3,55.03,55.41,CSCO,17354370
1,55.1,6/6/2019,55.3,54.21,54.89,CSCO,15927322
2,54.75,6/5/2019,54.79,53.75,53.85,CSCO,22521863
3,53.23,6/4/2019,53.635,52.41,52.48,CSCO,21689299
4,51.78,6/3/2019,52.565,51.485,52.05,CSCO,22380491
5,52.03,5/31/2019,52.88,52.01,52.79,CSCO,20480449
6,53.57,5/30/2019,53.78,53.335,53.44,CSCO,12954268
7,53.18,5/29/2019,53.55,52.855,53.55,CSCO,19762122
8,53.93,5/28/2019,55.03,53.82,54.74,CSCO,29769161
0,121.48,6/7/2019,122.12,120.53,120.74,CVX,5343069
1,120.68,6/6/2019,121.155,118.11,118.21,CVX,7370113
2,117.65,6/5/2019,118.03,116.27,117.87,CVX,5105963
3,117.3,6/4/2019,117.68,116.29,116.6,CVX,5235579
4,115.99,6/3/2019,116.1,114.47,114.7,CVX,6100999
5,113.85,5/31/2019,115.2,113.72,114.22,CVX,6899828
6,115.38,5/30/2019,116.74,114.8462,116.54,CVX,5807929
7,116.77,5/29/2019,117.36,115.82,117.04,CVX,7451292
8,118.31,5/28/2019,119.32,118.165,118.88,CVX,8145135
0,138.04,6/7/2019,138.76,137.33,137.6,DIS,7024396
1,137.21,6/6/2019,137.44,135.73,136.51,DIS,6027316
2,135.94,6/5/2019,136,134.9399,135.41,DIS,6842759
3,134.82,6/4/2019,134.88,132.92,133.45,DIS,8247513
4,132.47,6/3/2019,132.95,131.49,132.02,DIS,7901387
5,132.04,5/31/2019,132.93,130.78,130.96,DIS,7420899
6,132.2,5/30/2019,132.68,131.335,131.88,DIS,5273987
7,131.57,5/29/2019,132.15,130.7783,131.96,DIS,7749591
8,132.62,5/28/2019,134.04,132.59,133.21,DIS,8938370
0,9.98,6/7/2019,10.045,9.815,9.9,GE,41067299
1,9.92,6/6/2019,10,9.77,9.89,GE,38528006
2,9.89,6/5/2019,10.09,9.82,10.07,GE,41163379
3,10,6/4/2019,10,9.585,9.61,GE,61404706
4,9.53,6/3/2019,9.54,9.25,9.3,GE,47273979
5,9.44,5/31/2019,9.47,9.3,9.34,GE,46337864
6,9.47,5/30/2019,9.51,9.29,9.37,GE,50531402
7,9.37,5/29/2019,9.39,9.15,9.31,GE,44587955
8,9.36,5/28/2019,9.54,9.27,9.41,GE,72211711
0,1066.04,6/7/2019,1070.92,1048.4,1050.63,GOOG,1801757
