price change,high low span,high above ema,close above ema4,close to high var %,% volume change,volume relative to span,SP CC change,SP high low,SP high above EMA,SP close above ema,SP close to high,DJ CC delta,DJ high low,DJ high above,DJ close above ema4,DJ close to high var %
-1,0.023482,0.013147,0.011902,0.001231,0.11106,0.211439,0.0023,0.007775,0.000096,-0.005919,0.006051,-0.0001,0.004127,0.005388,0.003435,0.001946
-1,0.007996,0.010701,0.009265,0.001423,-0.194704,-0.041066,-0.0016,0.00568,0.003466,0.002303,0.00116,0.0042,0.005945,0.006559,0.004937,0.001614
-1,0.012712,0.009531,0.007512,0.002005,-0.244667,-0.051957,-0.001,0.004525,0.003628,0.003097,0.00053,-0.0018,0.003562,0.003689,0.002101,0.001584
-1,0.018556,0.014429,0.01311,0.001301,0.166507,0.111443,-0.0088,0.009469,0.007142,0.00624,0.000896,0.0055,0.007218,0.008109,0.006615,0.001484
1,0.006903,0.013313,0.006897,0.006372,-0.329657,-0.02094,0.0022,0.003683,-0.002183,-0.005438,0.003273,-0.0022,0.003674,0.007228,0.004074,0.003141
1,0.01286,0.010719,-0.001346,0.012081,0.054068,0.237857,0.0004,0.006924,0.003848,0.001476,0.002368,-0.0051,0.008548,0.000051,-0.002753,0.002812
1,0.014097,-0.000263,-0.003677,0.003426,0.005678,2.482576,-0.0047,0.007592,0.004131,0.004131,0,0.0031,0.005689,0.000666,0.000658,0.000009
-1,0.010312,0.005338,-0.0013,0.006647,0.160129,0.0644,-0.0011,0.003456,0.000863,-0.001339,0.002205,0.0004,0.00308,0.003421,0.001605,0.001813
1,0.021378,0.001015,-0.012421,0.013604,0.522838,0.040889,-0.001,0.008184,0.005456,0.004641,0.000811,0.0015,0.007317,0.003419,0.002622,0.000795
-1,0.028881,0.044564,0.021325,0.022753,0.282171,0.102352,0.0075,0.010524,-0.002786,-0.013048,0.010398,-0.0061,0.009951,0.00681,-0.002969,0.009809
1,0.021611,0.025637,0.008756,0.016734,-1.026087,-0.021062,0.0021,0.010687,0.010211,0.005331,0.004853,-0.0046,0.010428,-0.004041,-0.009571,0.005584
-1,0.007603,0.0131,0.01267,0.000425,-0.531483,-0.014306,-0.0096,0.006328,0.001719,0.000968,0.00075,0.0075,0.00622,-0.000573,-0.001703,0.001132
1,0.025614,-0.00006,-0.001783,0.001727,0.35603,0.071943,0.0045,0.013337,0.015692,0.014015,0.001654,-0.0025,0.01673,-0.001083,-0.002509,0.001429
1,0.032485,0.004672,-0.017415,0.022479,0.163054,0.199231,0.0165,0.017486,-0.003607,-0.013519,0.010048,-0.0179,0.018763,-0.004531,-0.016343,0.012009
-1,0.017693,0.001496,-0.010405,0.012026,-0.471694,-0.03751,0.0016,0.008571,0.014114,0.007626,0.006439,0.0001,0.008807,-0.007141,-0.012872,0.005806
1,0.02501,-0.008007,-0.012729,0.004783,0.245472,0.101885,0.003,0.013784,0.005251,0.003416,0.001829,-0.0054,0.014229,-0.01156,-0.013718,0.002189
1,0.030835,-0.009991,-0.018305,0.008469,0.152883,0.201689,-0.0037,0.022878,0.009473,0.006013,0.003439,0.0044,0.02118,-0.001658,-0.004611,0.002966
1,0.035699,-0.02732,-0.046622,0.020246,0.282461,0.126385,0.0241,0.013784,0.004241,-0.005773,0.010072,-0.0238,0.013645,-0.015224,-0.024586,0.009598
-1,0.022739,-0.013753,-0.01916,0.005513,-0.572163,-0.039743,-0.008,0.011438,0.012946,0.006508,0.006396,0.0082,0.011943,-0.003767,-0.009852,0.006146
-1,0.030013,-0.000131,-0.004459,0.004347,-0.376156,-0.079788,-0.0058,0.015293,0.012808,0.010073,0.002708,0.0045,0.014931,0.002972,-0.000025,0.002997
1,0.019097,0.007184,-0.005322,0.012574,0.196378,0.097247,-0.0089,0.012638,0.006863,0.001352,0.005504,0.0084,0.010265,0.016791,0.013071,0.003671
1,0.021905,0.003373,-0.006613,0.010053,-0.004631,-4.729689,0.0058,0.010928,0.011852,0.002752,0.009075,-0.0038,0.011293,0.017155,0.009914,0.00717
1,0.02223,-0.016228,-0.022952,0.006882,0.148481,0.149713,0.0067,0.007947,0.005918,0.001114,0.004799,-0.0033,0.007444,0.007932,0.005121,0.002796
-1,0.017685,0.004947,-0.002537,0.007503,-0.361273,-0.048952,-0.0085,0.005188,0.00223,0.000651,0.001578,0.0077,0.004585,0.010984,0.010167,0.000809
1,0.017289,0.001906,-0.013902,0.01603,0.046513,0.371689,0.0028,0.005028,0.004426,0.001202,0.003221,-0.0039,0.004776,0.006447,0.002496,0.003942
1,0.015195,-0.013863,-0.01867,0.004898,0.185635,0.081856,0.0119,0.011059,0.002853,-0.002259,0.005124,-0.0111,0.012942,-0.003342,-0.009849,0.006572
1,0.019668,0.003887,-0.013585,0.017712,-0.540385,-0.036396,-0.0014,0.007491,0.002491,-0.002907,0.005414,0.0037,0.006825,-0.002243,-0.005552,0.003327
1,0.015037,0.002426,-0.010674,0.013241,0.151476,0.099268,0.0084,0.013892,0.004461,-0.009019,0.013603,-0.0093,0.014808,0.00059,-0.0138,0.014591
1,0.018886,0.001711,-0.009292,0.011106,0.018714,1.009175,0.0069,0.009332,0.007434,0.004183,0.003237,-0.0087,0.01167,-0.01674,-0.020833,0.004181
-1,0.014358,0.002706,-0.002497,0.005216,-0.342285,-0.041947,-0.0021,0.007982,0.00154,-0.002088,0.003636,0.0017,0.006031,-0.011591,-0.013498,0.001933
1,0.017136,0.004029,-0.012442,0.016679,0.214162,0.080014,0.0132,0.006708,0.006215,0.000067,0.006148,-0.0141,0.009543,-0.013333,-0.022443,0.00932
